CustomerID,Age,Gender,Region,Income,Months_Subscribed,Total_Spend,Customer_Service_Calls,Rating_Score,Payment_Method,Churn
CUST-00001,45,Female,North,64406,42,2407.72,4,2.5,PayPal,0
CUST-00002,38,Male,East,63664,56,2420.02,3,3.9,Credit Card,0
CUST-00003,47,Male,West,30108,17,1545.5,0,5,PayPal,0
CUST-00004,58,Male,North,66747,31,2055.8,3,5,Credit Card,0
CUST-00005,37,Female,North,93320,53,2369.31,0,3.8,PayPal,0
CUST-00006,37,Female,North,43144,34,1452.77,5,3.9,PayPal,0
CUST-00007,58,Female,South,101212,38,1538.51,3,4.5,Credit Card,0
CUST-00008,49,Female,South,87194,57,2797.09,1,5,PayPal,0
CUST-00009,34,Male,South,56644,37,1537.34,1,3.5,PayPal,0
CUST-00010,46,Female,North,71461,4,193.36,2,4.7,PayPal,0
CUST-00011,34,Male,West,114958,2,791.96,3,3.2,Credit Card,1
CUST-00012,34,Male,North,93338,12,1632.83,1,4.3,Bank Transfer,0
CUST-00013,42,Male,South,75219,35,813.01,1,5,Credit Card,0
CUST-00014,18,Female,East,69057,6,260.52,0,2.7,PayPal,0
CUST-00015,19,Female,East,76915,56,2143.14,0,3.5,Credit Card,0
CUST-00016,33,Female,West,62205,46,2593.88,1,5,PayPal,0
CUST-00017,27,Female,West,22381,8,1181.89,0,4.6,Credit Card,0
CUST-00018,43,Male,North,126054,21,2436.09,0,,PayPal,0
CUST-00019,29,Male,West,78883,53,2213.31,1,4.8,PayPal,0
CUST-00020,23,Male,North,84953,58,2100.17,0,3.7,PayPal,0
CUST-00021,57,Male,South,73552,46,2609.41,2,5,Bank Transfer,0
CUST-00022,37,Female,East,56622,35,1178.43,3,4.1,Credit Card,0
CUST-00023,40,Female,West,70351,48,1563.06,2,1,Bank Transfer,0
CUST-00024,22,Male,North,35015,15,292.53,1,3.7,PayPal,0
CUST-00025,33,Male,East,131927,7,1809.08,3,3.5,PayPal,1
CUST-00026,41,Female,South,44137,15,688.39,1,4.8,PayPal,0
CUST-00027,26,Male,North,49200,45,2231.3,4,3.5,Credit Card,0
CUST-00028,44,Female,North,63993,6,1084.19,1,5,Credit Card,0
CUST-00029,32,Male,East,107201,47,2681.87,1,4.6,Credit Card,0
CUST-00030,36,Male,West,75362,17,709.12,2,3,PayPal,0
CUST-00031,32,Male,South,44096,4,427.72,3,3.9,PayPal,0
CUST-00032,62,Female,North,106358,22,2028.78,0,3.2,PayPal,0
CUST-00033,39,Male,North,93275,32,1540.9,1,4.2,PayPal,0
CUST-00034,27,Male,South,88460,59,1040.62,0,3.2,PayPal,0
CUST-00035,49,Female,North,92893,22,918.34,1,4.1,Credit Card,0
CUST-00036,25,Female,East,134859,27,1142.67,2,3.7,Bank Transfer,0
CUST-00037,42,Non-Binary,West,129627,46,1798.56,2,3.8,Credit Card,0
CUST-00038,18,Female,West,57832,15,1285.05,2,5,Credit Card,0
CUST-00039,24,Male,North,115597,44,2186.51,4,3.6,Credit Card,1
CUST-00040,42,Male,West,84579,51,2299.01,1,2.1,Credit Card,0
CUST-00041,48,Male,South,87477,22,2571.72,2,5,Credit Card,0
CUST-00042,42,Female,East,32693,28,1971.08,0,5,Credit Card,0
CUST-00043,38,Male,East,70740,42,2284.61,1,2,Credit Card,0
CUST-00044,36,Female,South,54679,38,935.76,3,3.3,PayPal,0
CUST-00045,22,Female,West,95701,57,2253.27,3,4.4,PayPal,0
CUST-00046,31,Male,South,101777,9,1293.23,0,4.5,PayPal,0
CUST-00047,34,Female,East,23137,34,1198.07,2,4,PayPal,0
CUST-00048,52,Male,West,74449,36,2745.43,1,4,Credit Card,1
CUST-00049,44,Female,South,103046,9,1305.83,1,3.1,Credit Card,0
CUST-00050,18,Female,South,70333,15,392.49,4,1.6,PayPal,1
CUST-00051,43,Male,East,93226,45,1622.44,0,5,PayPal,0
CUST-00052,35,Female,West,83779,20,2510.07,0,3,Credit Card,0
CUST-00053,31,Male,South,83541,8,817.64,0,4.2,Bank Transfer,0
CUST-00054,47,Female,West,68217,58,1321.82,1,3.8,PayPal,0
CUST-00055,52,Male,West,44585,28,1243.25,3,4.9,PayPal,0
CUST-00056,51,Male,East,46961,51,1206.5,1,4.1,PayPal,0
CUST-00057,29,F,South,92733,19,1787.32,2,4.2,PayPal,0
CUST-00058,36,Male,South,75486,57,1285,1,1.4,PayPal,0
CUST-00059,43,Male,North,71537,16,586.58,0,3.2,Credit Card,0
